English,Thai
bend,โค้งงอ
shock,ทำให้ตกใจ
exercise,ออกกำลังกาย
criteria,เกณฑ์
arab,ชาวอาหรับ
dirty,สกปรก
ring,แหวน
toy,ของเล่น
potentially,อาจจะ
assault,จู่โจม
peak,จุดสูงสุด
anger,ความโกรธ
boot,รองเท้าบูท
dramatic,น่าทึ่ง
peer,เพียร์
enhance,ยกระดับ
math,คณิตศาสตร์
slide,เลื่อน
favor,ความโปรดปราน
pink,สีชมพู
dust,ฝุ่น
aunt,ป้า
lost,สูญหาย
prospect,โอกาส
mood,อารมณ์
mm-hmm,mm-hmm
settlement,การตั้งถิ่นฐาน
rather,ค่อนข้าง
justify,ให้เหตุผล
depth,ความลึก
juice,น้ำผลไม้
formal,เป็นทางการ
virtually,อย่างแท้จริง
gallery,แกลลอรี่
tension,ความเครียด
throat,คอ
draft,ร่าง
reputation,ชื่อเสียง
index,ดัชนี
normally,โดยทั่วไป
mess,ความยุ่งเหยิง
joy,ความสุข
steel,เหล็ก
motor,เครื่องยนต์
enterprise,องค์กร
salary,เงินเดือน
moreover,นอกจากนี้
giant,ยักษ์
cousin,ลูกพี่ลูกน้อง
ordinary,สามัญ
graduate,เรียนจบ
dozen,โหล
evolution,วิวัฒนาการ
so-called,ที่เรียกว่า
helpful,มีประโยชน์
competitive,การแข่งขัน
lovely,น่ารัก
fishing,การตกปลา
anxiety,ความวิตกกังวล
professional,มืออาชีพ
carbon,คาร์บอน
essay,เรียงความ
islamic,เกี่ยวกับอิสลาม
honor,ให้เกียรติ
drama,ละคร
odd,แปลก
evil,ความชั่วร้าย
stranger,คนแปลกหน้า
belt,เข็มขัด
urge,กระตุ้น
toss,โยน
fifth,ที่ห้า
formula,สูตร
potato,มันฝรั่ง
monster,สัตว์ประหลาด
smoke,ควัน
telephone,โทรศัพท์
rape,ข่มขืน
palm,ปาล์ม
jet,เครื่องบินไอพ่น
navy,กองทัพเรือ
excited,ตื่นเต้น
plot,พล็อต
angle,มุม
criticize,วิจารณ์
prisoner,นักโทษ
discipline,การลงโทษ
negotiation,การเจรจาต่อรอง
damn,สาปแช่ง
butter,เนย
desert,ทะเลทราย
complicated,ที่ซับซ้อน
prize,รางวัล
blind,ตาบอด
assign,กำหนด
bullet,กระสุนปืน
awareness,การรับรู้
sequence,ลำดับ
illustrate,อธิบาย
drop,หยด
pack,หีบห่อ
provider,ผู้ให้บริการ
fucking,ร่วมเพศ
minor,ส่วนน้อย
activist,นักเคลื่อนไหว
poem,บทกวี
vacation,วันหยุด
weigh,ชั่งน้ำหนัก
gang,แก๊ง
privacy,ความเป็นส่วนตัว
clock,นาฬิกา
arrange,จัด
penalty,การลงโทษ
stomach,ท้อง
concert,คอนเสิร์ต
originally,แต่เดิม
statistics,สถิติ
electronic,เกี่ยวกับอิเล็กทรอนิกส์
properly,อย่างถูกต้อง
bureau,สำนัก
wolf,หมาป่า
and/or,และ/หรือ
classic,คลาสสิค
recommendation,คำแนะนำ
exciting,น่าตื่นเต้น
maker,ผู้ผลิต
dear,ที่รัก
impression,ความประทับใจ
broken,แตกหัก
battery,แบตเตอรี่
narrative,เรื่องเล่า
process,กระบวนการ
arise,เกิดขึ้น
kid,เด็ก
sake,เหล้าสาเก
delivery,จัดส่ง
forgive,ให้อภัย
visible,มองเห็นได้
heavily,อย่างหนัก
junior,จูเนียร์
rep,ตัวแทน
diversity,ความหลากหลาย
string,สาย
lawsuit,คดีความ
latter,หลัง
cute,น่ารัก
deputy,รอง
restore,คืนค่า
buddy,เพื่อน
psychological,เกี่ยวกับจิตวิทยา
besides,นอกจาก
intense,เข้มข้น
friendly,เป็นกันเอง
evil,ความชั่วร้าย
lane,ช่องทาง
hungry,หิว
bean,ถั่ว
sauce,ซอส
print,พิมพ์
dominate,ครอบงำ
testing,การทดสอบ
trick,เล่ห์เหลี่ยม
fantasy,จินตนาการ
absence,ขาด
offensive,ก้าวร้าว
symbol,เครื่องหมาย
recognition,การยอมรับ
detect,ตรวจจับ
tablespoon,ช้อนโต๊ะ
construct,สร้าง
hmm,อืม
arrest,จับกุม
approval,การอนุมัติ
aids,เอดส์
whereas,ในทางตรงกันข้าม
defensive,การป้องกัน
independence,ความเป็นอิสระ
apologize,ขอโทษ
top,สูงสุด
asian,เอเชีย
rose,ดอกกุหลาบ
ghost,ผี
involvement,การมีส่วนร่วม
permanent,ถาวร
wire,ลวด
whisper,กระซิบ
mouse,หนู
airline,สายการบิน
founder,ผู้สร้าง
objective,วัตถุประสงค์
nowhere,ไม่มีที่ไหนเลย
alternative,ทางเลือก
phenomenon,ปรากฏการณ์
evolve,วิวัฒนาการ
not,ไม่
exact,ที่แน่นอน
silver,เงิน
cent,ร้อยละ
universal,สากล
teenager,วัยรุ่น
crucial,สำคัญ
viewer,ผู้ชม
schedule,กำหนดการ
ridiculous,น่าขัน
chocolate,ช็อคโกแลต
sensitive,อ่อนไหว
bottom,ด้านล่าง
grandmother,ยาย
missile,ขีปนาวุธ
roughly,อย่างคร่าวๆ
constitutional,เกี่ยวกับรัฐธรรมนูญ
adventure,การผจญภัย
genetic,ทางพันธุกรรม
advance,ก้าวหน้า
related,ที่เกี่ยวข้อง
swing,แกว่ง
ultimate,ขั้นสุดท้าย
manufacturer,ผู้ผลิต
unknown,ไม่รู้จัก
wipe,เช็ด
crop,พืชผล
survival,การอยู่รอด
line,เส้น
dimension,มิติ
resist,ต้านทาน
request,ขอ
roll,ม้วน
shape,รูปร่าง
darkness,ความมืดมิด
guarantee,รับประกัน
historic,เกี่ยวกับประวัติศาสตร์
educator,นักการศึกษา
rough,ขรุขระ
personnel,บุคลากร
race,แข่ง
confront,เผชิญหน้า
terrorist,ผู้ก่อการร้าย
royal,พระราชินี
elite,ผู้ลากมากดี
occupy,ครอบครอง
emphasis,เน้น
wet,เปียก
destruction,การทำลาย
raw,ดิบ
inner,ภายใน
proceed,ดำเนินการ
violate,ละเมิด
chart,แผนภูมิ
pace,ก้าว
finance,การเงิน
champion,แชมป์
snap,ตะครุบ
suspect,สงสัย
advise,ให้คำแนะนำ
initially,ในขั้นต้น
advanced,ขั้นสูง
unlikely,ไม่น่าเป็นไปได้
barrier,สิ่งกีดขวาง
advocate,สนับสนุน
label,ฉลาก
access,เข้าถึง
horrible,น่ากลัว
burden,ภาระ
violation,การละเมิด
unlike,ไม่เหมือนใคร
idiot,งี่เง่า
lifetime,ตลอดชีวิต
working,การทำงาน
fund,กองทุน
ongoing,อย่างต่อเนื่อง
react,ตอบโต้
routine,กิจวัตรประจำวัน
presentation,การนำเสนอ
supply,จัดหา
gear,เกียร์
photograph,ถ่ายภาพ
mexican,ชาวเม็กซิกัน
stadium,สนามกีฬา
translate,แปลภาษา
mortgage,จำนอง
sheriff,นายอำเภอ
clinic,คลินิก
spin,การหมุน
coalition,การรวมตัวกัน
naturally,ตามธรรมชาติ
hopefully,หวังว่า
mix,ผสม
menu,เมนู
smooth,เรียบ
advertising,การโฆษณา
interpret,ตีความ
plant,ปลูก
dismiss,อนุญาตให้ออกไป
muslim,มุสลิม
apparent,ชัดเจน
arrangement,การจัดเตรียม
incorporate,รวม
split,แยก
brilliant,ฉลาดหลักแหลม
storage,พื้นที่จัดเก็บ
framework,กรอบ
honestly,สุจริต
chase,ไล่ล่า
sigh,ถอนหายใจ
assure,รับรอง
utility,คุณประโยชน์
taste,รสชาติ
aggressive,ก้าวร้าว
cookie,คุกกี้
terror,ความหวาดกลัว
free,ฟรี
worth,คุณค่า
wealthy,ร่ำรวย
update,อัปเดต
forum,ฟอรัม
alliance,พันธมิตร
possess,มี
empire,จักรวรรดิ
curious,อยากรู้
corn,ข้าวโพด
neither,ไม่ใช่ทั้งสองอย่าง
calculate,คำนวณ
hurry,รีบ
testimony,คำให้การ
elementary,ระดับประถมศึกษา
transfer,โอนย้าย
stake,สเตค
precisely,แม่นยำ
bite,กัด
given,ที่ให้ไว้
substantial,รูปธรรม
depending,ขึ้นอยู่กับ
glance,ชำเลือง
tissue,เนื้อเยื่อ
concentration,ความเข้มข้น
developer,ผู้พัฒนา
found,พบ
ballot,บัตรลงคะแนน
consume,บริโภค
overcome,เอาชนะ
biological,เกี่ยวกับชีวภาพ
chamber,ห้อง
similarly,ในทำนองเดียวกัน
stick,ติด
dare,กล้า
developing,การพัฒนา
tiger,เสือ
ratio,อัตราส่วน
lover,คนรัก
expansion,การขยาย
encounter,เผชิญ
occasionally,เป็นครั้งคราว
unemployment,การว่างงาน
pet,สัตว์เลี้ยง
awful,แย่มาก
laboratory,ห้องปฏิบัติการ
administrator,ผู้ดูแลระบบ
wind,ลม
quarterback,กองหลัง
rocket,จรวด
preparation,การตระเตรียม
relative,ญาติ
confident,มั่นใจ
strategic,เชิงกลยุทธ์
marine,นาวิกโยธิน
quote,อ้าง
publisher,ผู้จัดพิมพ์
innovation,นวัตกรรม
highlight,เน้น
nut,ถั่ว
fighter,นักสู้
rank,จัดอันดับ
electricity,ไฟฟ้า
instance,ตัวอย่าง
fortune,โชค
freeze,แช่แข็ง
variation,การเปลี่ยนแปลง
armed,ติดอาวุธ
negotiate,ต่อรอง
laughter,เสียงหัวเราะ
wisdom,ภูมิปัญญา
correspondent,ผู้สื่อข่าว
mixture,ส่วนผสม
murder,การฆาตกรรม
assistant,ผู้ช่วย
retain,รักษาไว้
tomato,มะเขือเทศ
indian,เกี่ยวกับประเทศอินเดีย
testify,เป็นพยาน
ingredient,วัตถุดิบ
since,เนื่องจาก
galaxy,กาแล็กซี่
qualify,มีคุณสมบัติ
scheme,แผนการ
gop,GOP
shame,ความอัปยศ
concentrate,สมาธิ
contest,การประกวด
introduction,การแนะนำ
boundary,เขตแดน
tube,หลอด
versus,เมื่อเทียบกับ
chef,พ่อครัว
regularly,เป็นประจำ
ugly,น่าเกลียด
screw,สกรู
load,การโหลด
tongue,ลิ้น
palestinian,ชาวปาเลสไตน์
fiscal,เกี่ยวกับการคลัง
creek,ลำห้วย
hip,สะโพก
accompany,มาพร้อมกับ
decline,ปฏิเสธ
terrorism,การก่อการร้าย
respondent,ผู้ตอบ
narrator,ผู้บรรยาย
voting,การออกเสียง
refugee,ผู้ลี้ภัย
assembly,การประกอบ
fraud,การฉ้อโกง
limitation,ข้อ จำกัด
house,บ้าน
partnership,การเป็นหุ้นส่วน
store,เก็บ
crash,ชน
surprise,เซอร์ไพรส์
representation,การเป็นตัวแทน
hold,ถือ
ministry,กระทรวง
flat,แบน
wise,ฉลาด
witness,พยาน
excuse,ขอโทษ
register,ลงทะเบียน
comedy,เรื่องตลก
purchase,ซื้อ
tap,แตะ
infrastructure,โครงสร้างพื้นฐาน
organic,โดยธรรมชาติ
islam,ศาสนาอิสลาม
diverse,มีความหลากหลาย
favor,ความโปรดปราน
intellectual,เกี่ยวกับปัญญาชน
tight,แน่น
port,ท่าเรือ
fate,โชคชะตา
market,ตลาด
absolute,แน่นอน
dialogue,บทสนทนา
plus,บวก
frequency,ความถี่
tribe,เผ่า
external,ภายนอก
appointment,การนัดหมาย
convert,แปลง
surprising,น่าแปลกใจ
mobile,มือถือ
establishment,สถานประกอบการ
worried,กังวล
bye,ลาก่อน
shopping,ช้อปปิ้ง
celebrity,คนดัง
congressman,สมาชิกสภาคองเกรส
impress,ประทับใจ
taxpayer,ผู้เสียภาษี
adapt,ปรับ
publicly,อย่างเปิดเผย
pride,ความภาคภูมิใจ
clothing,เสื้อผ้า
rapidly,อย่างรวดเร็ว
domain,โดเมน
mainly,ส่วนใหญ่
ceiling,เพดาน
alter,เปลี่ยนแปลง
shelter,ที่หลบภัย
random,แบบสุ่ม
obligation,ภาระผูกพัน
shower,อาบน้ำ
beg,ขอ
asleep,นอนหลับ
musician,นักดนตรี
extraordinary,พิเศษ
dirt,สิ่งสกปรก
pc,พีซี
bell,กระดิ่ง
smell,กลิ่น
damage,ความเสียหาย
ceremony,พิธี
clue,เบาะแส
guideline,แนวทาง
comfort,ปลอบโยน
near,ใกล้
pregnancy,การตั้งครรภ์
borrow,ยืม
conventional,ธรรมดา
tourist,นักท่องเที่ยว
incentive,แรงจูงใจ
custom,กำหนดเอง
cheek,แก้ม
tournament,การแข่งขัน
double,สองเท่า
satellite,ดาวเทียม
nearby,ใกล้เคียง
comprehensive,ครอบคลุม
stable,มั่นคง
medication,ยา
script,สคริปต์
educate,ให้ความรู้
efficient,มีประสิทธิภาพ
risk,เสี่ยง
welcome,ยินดีต้อนรับ
scare,ทำให้ตกใจ
psychology,จิตวิทยา
logic,ตรรกะ
economics,เศรษฐศาสตร์
update,อัปเดต
nevertheless,แต่ถึงอย่างไร
devil,ปีศาจ
thirty,สามสิบ
beat,ตี
charity,การกุศล
fiber,เส้นใย
wave,คลื่น
ideal,ในอุดมคติ
friendship,มิตรภาพ
net,สุทธิ
motivation,แรงจูงใจ
differently,ต่างกัน
reserve,จอง
observer,ผู้สังเกตการณ์
humanity,มนุษยชาติ
survivor,ผู้รอดชีวิต
fence,รั้ว
quietly,อย่างเงียบ ๆ
humor,อารมณ์ขัน
major,วิชาเอก
funeral,งานศพ
spokesman,โฆษก
extension,ส่วนขยาย
loose,หลวม
sink,จม
historian,นักประวัติศาสตร์
ruin,ทำลาย
balance,สมดุล
chemical,เคมี
singer,นักร้อง
drunk,เมา
swim,ว่ายน้ำ
onion,หัวหอม
specialist,ผู้เชี่ยวชาญ
missing,หายไป
white,สีขาว
pan,กระทะ
distribute,แจกจ่าย
silly,โง่
deck,ดาดฟ้า
reflection,การสะท้อน
shortly,ในเวลาสั้น ๆ
database,ฐานข้อมูล
flow,ไหล
remote,ระยะไกล
permission,การอนุญาต
remarkable,น่าทึ่ง
everyday,ทุกวัน
lifestyle,วิถีชีวิต
sweep,กวาด
naked,เปลือยกาย
sufficient,เพียงพอ
lion,สิงโต
consumption,การบริโภค
capability,ความสามารถ
practice,ฝึกฝน
emission,การปล่อยมลพิษ
sidebar,แถบด้านข้าง
crap,อึ
dealer,ตัวแทนจำหน่าย
measurement,การวัด
vital,สำคัญยิ่ง
impressive,ประทับใจ
bake,อบ
fantastic,มหัศจรรย์
adviser,ผู้ให้คำปรึกษา
yield,ผลผลิต
mere,เป็นเพียง
imagination,จินตนาการ
radical,รุนแรง
tragedy,โศกนาฏกรรม
scary,น่ากลัว
consultant,ที่ปรึกษา
correct,ถูกต้อง
lieutenant,ผู้หมวด
upset,อารมณ์เสีย
attractive,มีเสน่ห์
acre,เอเคอร์
drawing,การวาดภาพ
defeat,ความพ่ายแพ้
newly,ใหม่
scandal,เรื่องอื้อฉาว
ambassador,เอกอัครราชทูต
ooh,Ooh
spot,จุด
content,เนื้อหา
round,กลม
bench,ม้านั่ง
guide,แนะนำ
counter,เคาน์เตอร์
chemical,เคมี
odds,การทำให้เสียเงิน
rat,หนู
horror,สยองขวัญ
appeal,อุทธรณ์
vulnerable,เปราะบาง
prevention,การป้องกัน
square,สี่เหลี่ยม
segment,ส่วน
ban,ห้าม
tail,หาง
constitute,ประกอบขึ้น
badly,ห่วย
bless,อวยพร
literary,วรรณกรรม
magic,มายากล
implementation,การดำเนินการ
legitimate,ถูกต้องตามกฎหมาย
slight,เล็กน้อย
crash,ชน
strip,เปลื้องผ้า
desperate,หมดหวัง
distant,ห่างไกล
preference,ความพึงใจ
politically,ทางการเมือง
feedback,ข้อเสนอแนะ
health-care,ดูแลสุขภาพ
criminal,อาชญากร
can,สามารถ
italian,ภาษาอิตาลี
detailed,มีรายละเอียด
buyer,ผู้ซื้อ
wrong,ผิด
cooperation,ความร่วมมือ
profession,วิชาชีพ
incredibly,เหลือเชื่อ
orange,ส้ม
killing,การสังหาร
sue,ฟ้อง
photographer,ช่างภาพ
running,วิ่ง
engagement,การว่าจ้าง
differ,แตกต่าง
paint,สี
pitch,ขว้าง
extensive,กว้างขวาง
salad,สลัด
stair,บันได
notice,สังเกต
grace,ความสง่างาม
divorce,หย่า
vessel,เรือ
pig,หมู
assignment,งานที่มอบหมาย
distinction,ความแตกต่าง
fit,พอดี
circuit,วงจร
acid,กรด
canadian,ชาวแคนาดา
flee,หลบหนี
efficiency,ประสิทธิภาพ
memorial,อนุสรณ์สถาน
proposed,ที่เสนอ
blue,สีฟ้า
entity,กิจการ
iphone,iPhone
punishment,การลงโทษ
pause,หยุดชั่วคราว
pill,ยา
rub,ถู
romantic,โรแมนติก
myth,ตำนาน
economist,นักเศรษฐศาสตร์
latin,ภาษาละติน
decent,เหมาะสม
assistant,ผู้ช่วย
craft,งานฝีมือ
poetry,บทกวี
terrorist,ผู้ก่อการร้าย
thread,เกลียว
wooden,ทำด้วยไม้
confuse,สับสน
subject,เรื่อง
privilege,สิทธิพิเศษ
coal,ถ่านหิน
fool,คนโง่
cow,วัว
characterize,ลักษณะ
pie,พาย
decrease,ลด
resort,รีสอร์ท
legacy,มรดก
re,อีกครั้ง
stress,ความเครียด
frankly,อย่างตรงไปตรงมา
matter,วัตถุ
cancel,ยกเลิก
derive,ได้มา
dumb,โง่
scope,ขอบเขต
formation,รูปแบบ
grandfather,ปู่
hence,เพราะฉะนั้น
wish,ปรารถนา
margin,ระยะขอบ
wound,แผล
exhibition,นิทรรศการ
legislature,สภานิติบัญญัติ
furthermore,นอกจากนี้
portrait,ภาพเหมือน
catholic,คาทอลิก
sustain,ยังชีพประคับประคอง
uniform,เครื่องแบบ
painful,เจ็บปวด
loud,ดัง
miracle,ความมหัศจรรย์
harm,อันตราย
zero,ศูนย์
tactic,เกี่ยวกับชั้นเชิง
mask,หน้ากาก
calm,เงียบสงบ
inflation,เงินเฟ้อ
hunting,การล่าสัตว์
physically,ทางร่างกาย
final,สุดท้าย
flesh,เนื้อ
temporary,ชั่วคราว
fellow,เพื่อน
nerve,เส้นประสาท
lung,ปอด
steady,สม่ำเสมอ
headline,พาดหัว
sudden,กะทันหัน
successfully,อย่างประสบความสำเร็จ
defendant,จำเลย
pole,เสา
satisfy,ทำให้พึงพอใจ
entrance,ทางเข้า
aircraft,อากาศยาน
withdraw,ถอน
cabinet,ตู้
relative,ญาติ
repeatedly,ซ้ำ ๆ
happiness,ความสุข
admission,การรับเข้า
correlation,ความสัมพันธ์
proportion,สัดส่วน
dispute,ข้อพิพาท
candy,ลูกอม
reward,รางวัล
counselor,ผู้ให้คำปรึกษา
recording,การบันทึก
pile,กอง
explosion,การระเบิด
appoint,แต่งตั้ง
couch,โซฟา
cognitive,เกี่ยวกับความรู้ความเข้าใจ
furniture,เฟอร์นิเจอร์
significance,ความสำคัญ
grateful,ปลื้มปีติ
magic,มายากล
suit,สูท
commissioner,ผู้บัญชาการ
shelf,ชั้นวาง
tremendous,ใหญ่โต
warrior,นักรบ
physics,ฟิสิกส์
garage,โรงรถ
flavor,รสชาติ
squeeze,บีบ
prominent,โดดเด่น
fifty,ห้าสิบ
fade,เลือนหายไป
oven,เตาอบ
satisfaction,ความพึงพอใจ
discrimination,การเลือกปฏิบัติ
recession,การถดถอย
allegation,ข้อกล่าวหา
boom,ความบูม
weekly,รายสัปดาห์
lately,เมื่อเร็วๆ นี้
restriction,ข้อ จำกัด
diamond,เพชร
document,เอกสาร
crack,แตก
conviction,ความเชื่อมั่น
heel,ส้น
fake,ปลอม
fame,ชื่อเสียง
shine,ส่องแสง
swing,แกว่ง
playoff,การท่องเที่ยว
actress,นักแสดงหญิง
cheat,โกง
format,รูปแบบ
controversy,การโต้เถียง
auto,รถยนต์
grant,ยินยอม
grocery,ร้านขายของชำ
headquarters,สำนักงานใหญ่
rip,ฉีก
rank,จัดอันดับ
shade,ร่มเงา
regulate,ควบคุม
meter,เมตร
olympic,โอลิมปิก
pipe,ท่อ
patient,อดทน
celebration,การเฉลิมฉลอง
handful,กำมือ
copyright,ลิขสิทธิ์
dependent,ขึ้นอยู่กับ
signature,ลายเซ็น
bishop,บาทหลวง
strengthen,เสริมสร้างความเข้มแข็ง
soup,ซุป
entitle,ให้สิทธิ์
whoever,ใครก็ตาม
carrier,ผู้ให้บริการ
anniversary,วันครบรอบปี
pizza,พิซซ่า
ethics,จริยธรรม
legend,ตำนาน
eagle,นกอินทรี
scholarship,ทุนการศึกษา
crack,แตก
research,วิจัย
membership,การเป็นสมาชิก
standing,การยืน
possession,การครอบครอง
treaty,สนธิสัญญา
partly,ส่วนหนึ่ง
consciousness,ความมีสติ
manufacturing,การผลิต
announcement,ประกาศ
tire,ยาง
no,เลขที่
makeup,แต่งหน้า
pop,โผล่
prediction,การทำนาย
stability,ความมั่นคง
trace,ติดตาม
norm,บรรทัดฐาน
irish,เกี่ยวกับไอริช
genius,อัจฉริยะ
gently,ค่อยๆ
operator,ผู้ดำเนินการ
mall,ห้างสรรพสินค้า
rumor,ข่าวลือ
poet,กวี
tendency,แนวโน้ม
subsequent,ภายหลัง
alien,คนต่างด้าว
explode,ระเบิด
cool,เย็น
controversial,เป็นที่ถกเถียง
maintenance,การซ่อมบำรุง
courage,ความกล้าหาญ
exceed,เกิน
tight,แน่น
principal,อาจารย์ใหญ่
vaccine,วัคซีน
identification,การระบุตัวตน
sandwich,แซนวิช
bull,วัว
lens,เลนส์
twelve,สิบสอง
mainstream,กระแสหลัก
presidency,ตำแหน่งประธานาธิบดี
integrity,ความซื่อสัตย์
distinct,แตกต่าง
intelligent,ฉลาด
secondary,รอง
bias,อคติ
hypothesis,สมมติฐาน
fifteen,สิบห้า
nomination,การเสนอชื่อ
delay,ล่าช้า
adjustment,การปรับ
sanction,การลงโทษ
render,ทำให้
shop,ร้านค้า
acceptable,ยอมรับได้
mutual,ซึ่งกันและกัน
high,สูง
examination,การตรวจสอบ
meaningful,มีความหมาย
communist,คอมมิวนิสต์
superior,ดีกว่า
currency,สกุลเงิน
collective,รวมกัน
tip,เคล็ดลับ
flame,เปลวไฟ
guitar,กีตาร์
doctrine,หลักคำสอน
palestinian,ชาวปาเลสไตน์
float,ลอย
commerce,การค้าขาย
invent,ประดิษฐ์
robot,หุ่นยนต์
rapid,รวดเร็ว
plain,ธรรมดา
respectively,ตามลำดับ
particle,อนุภาค
across,ข้าม
glove,ถุงมือ
till,จนถึง
edit,แก้ไข
moderate,ปานกลาง
jazz,แจ๊ส
infant,เด็กทารก
summary,สรุป
server,เซิร์ฟเวอร์
leather,หนัง
radiation,การฉายรังสี
prompt,แจ้ง
function,การทำงาน
composition,องค์ประกอบ
operating,การผ่าตัด
assert,ยืนยัน
case,กรณี
discourse,วาทกรรม
loud,ดัง
dump,ทิ้ง
net,สุทธิ
wildlife,สัตว์ป่า
soccer,ฟุตบอล
complex,ซับซ้อน
mandate,อาณัติ
monitor,เฝ้าสังเกต
downtown,ตัวเมือง
nightmare,ฝันร้าย
barrel,ถัง
homeless,ไม่มีที่อยู่อาศัย
globe,โลก
uncomfortable,อึดอัด
execute,ประหารชีวิต
feel,รู้สึก
trap,กับดัก
gesture,ท่าทาง
pale,ซีด
tent,เต็นท์
receiver,เครื่องรับสัญญาณ
horizon,ขอบฟ้า
diagnosis,การวินิจฉัย
considerable,มาก
gospel,พระกิตติคุณ
automatically,โดยอัตโนมัติ
fighting,การต่อสู้
stroke,จังหวะ
wander,เดินเล่น
duck,เป็ด
grain,ข้าว
beast,สัตว์ร้าย
concern,กังวล
remark,ข้อสังเกต
fabric,ผ้า
civilization,อารยธรรม
warm,อบอุ่น
corruption,คอรัปชั่น
collapse,ทรุด
ma'am,แหม่ม
greatly,อย่างยิ่งใหญ่
workshop,การประชุมเชิงปฏิบัติการ
inquiry,การสอบถาม
cd,ซีดี
admire,ชื่นชม
exclude,ไม่รวม
rifle,ปืนไรเฟิล
closet,ตู้เสื้อผ้า
reporting,การรายงาน
curve,โค้ง
patch,ปะ
touchdown,ทัชดาวน์
experimental,เกี่ยวกับการทดลอง
earnings,รายได้
hunter,นักล่า
fly,บิน
tunnel,อุโมงค์
corps,กองทหาร
behave,ประพฤติ
rent,เช่า
german,ชาวเยอรมัน
motivate,กระตุ้น
attribute,คุณลักษณะ
elderly,ผู้สูงอายุ
virtual,เสมือน
minimum,ขั้นต่ำสุด
weakness,ความอ่อนแอ
progressive,ความก้าวหน้า
doc,เอกสาร
medium,ปานกลาง
virtue,คุณธรรม
ounce,ออนซ์
collapse,ทรุด
delay,ล่าช้า
athletic,เกี่ยวกับกีฬา
confusion,ความสับสน
legislative,เกี่ยวกับกฎหมาย
facilitate,อำนวยความสะดวก
midnight,เที่ยงคืน
deer,กวาง
way,ทาง
undergo,ผ่าน
heritage,มรดก
summit,การประชุมสุดยอด
sword,ดาบ
telescope,กล้องโทรทรรศน์
donate,บริจาค
blade,ใบมีด
toe,นิ้วเท้า
agriculture,เกษตรกรรม
park,สวน
enforce,บังคับ
recruit,สรรหาคน
favor,ความโปรดปราน
dose,ปริมาณ
concerning,เกี่ยวกับ
integrate,รวม
rate,ประเมิน
pitch,ขว้าง
prescription,ใบสั่งยา
retail,ขายปลีก
adoption,การรับเป็นบุตรบุญธรรม
monthly,รายเดือน
deadly,มรณะ
grave,หลุมฝังศพ
rope,เชือก
reliable,เชื่อถือได้
label,ฉลาก
transaction,ธุรกรรม
lawn,สนามหญ้า
consistently,อย่างสม่ำเสมอ
mount,ติดตั้ง
bubble,ฟอง
briefly,โดยสังเขป
absorb,ดูดซับ
princess,เจ้าหญิง
log,บันทึก
blanket,ผ้าห่ม
laugh,หัวเราะ
kingdom,ราชอาณาจักร
anticipate,คาดหวัง
bug,ข้อผิดพลาด
primary,หลัก
dedicate,อุทิศ
nominee,ผู้ได้รับการเสนอชื่อ
transformation,การเปลี่ยนแปลง
temple,วัด
sense,ความรู้สึก
arrival,การมาถึง
frustration,แห้ว
changing,การเปลี่ยนแปลง
demonstration,สาธิต
pollution,มลพิษ
poster,โปสเตอร์
nail,เล็บ
nonprofit,ไม่แสวงหาผลกำไร
cry,ร้องไห้
guidance,คำแนะนำ
exhibit,จัดแสดง
pen,ปากกา
interrupt,ขัดจังหวะ
lemon,มะนาว
bankruptcy,การล้มละลาย
resign,ลาออก
dominant,ที่เด่น
invasion,การบุกรุก
sacred,ศักดิ์สิทธิ์
replacement,การเปลี่ยน
portray,ภาพ
hunt,ล่า
distinguish,แยกแยะ
melt,ละลาย
consensus,ฉันทามติ
kiss,จูบ
french,ภาษาฝรั่งเศส
hardware,ฮาร์ดแวร์
rail,ราง
cold,เย็น
mate,เพื่อน
dry,แห้ง
korean,เกาหลี
cabin,ห้องโดยสาร
dining,การรับประทานอาหาร
liberal,เสรีนิยม
snake,งู
tobacco,ยาสูบ
orientation,ปฐมนิเทศ
trigger,สิ่งกระตุ้น
wherever,ทุกที่
seize,ยึด
abuse,ใช้ในทางที่ผิด
mess,ความยุ่งเหยิง
punish,ลงโทษ
sexy,เซ็กซี่
depict,แสดงภาพ
input,ป้อนข้อมูล
seemingly,ดูเหมือน
widespread,แพร่หลาย
competitor,คู่แข่ง
flip,พลิก
freshman,น้องใหม่
donation,การบริจาค
administrative,เกี่ยวกับการบริหาร
donor,ผู้บริจาค
gradually,ค่อยๆ
overlook,มองข้าม
toilet,ห้องน้ำ
pleased,พึงพอใจ
resemble,คล้ายคลึงกับ
ideology,อุดมการณ์
glory,ความรุ่งโรจน์
maximum,ขีดสุด
organ,อวัยวะ
skip,ข้าม
starting,ที่เริ่มต้น
brush,แปรง
brick,อิฐ
gut,ลำไส้
reservation,การจอง
rebel,กบฏ
disappointed,ที่ผิดหวัง
oak,ต้นโอ๊ก
valid,ถูกต้อง
instructor,ผู้สอน
rescue,กู้ภัย
racism,การเหยียดเชื้อชาติ
pension,เงินบำนาญ
diabetes,โรคเบาหวาน
overall,โดยรวม
cluster,กลุ่ม
eager,กระตือรือร้น
marijuana,กัญชา
combat,การต่อสู้
praise,ชื่นชม
costume,ชุดแต่งกาย
sixth,ที่หก
frequent,บ่อย
inspiration,แรงบันดาลใจ
orange,ส้ม
